index|lemma|human_readable_pos|synset_key_name|definition|example
0|long|adjective|Synset('long.s.03')|of relatively great height; - Sherwood Anderson|a race of long gaunt men
1|long|adjective|Synset('long.s.03')|of relatively great height; - Sherwood Anderson|a race of long gaunt men
2|long|adjective|Synset('long.s.03')|of relatively great height; - Sherwood Anderson|a race of long gaunt men
3|long|adjective|Synset('long.s.03')|of relatively great height; - Sherwood Anderson|a race of long gaunt men
4|long|adjective|Synset('long.s.03')|of relatively great height; - Sherwood Anderson|a race of long gaunt men
5|long|adjective|Synset('long.s.03')|of relatively great height; - Sherwood Anderson|a race of long gaunt men
6|long|adjective|Synset('long.s.03')|of relatively great height; - Sherwood Anderson|a race of long gaunt men
7|long|adjective|Synset('long.s.03')|of relatively great height; - Sherwood Anderson|a race of long gaunt men
8|long|adjective|Synset('long.s.03')|of relatively great height; - Sherwood Anderson|a race of long gaunt men
9|long|adjective|Synset('long.s.03')|of relatively great height; - Sherwood Anderson|a race of long gaunt men
10|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
11|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
12|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
13|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
14|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
15|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
16|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
17|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
18|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
19|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
20|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
21|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
22|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
23|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
24|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
25|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
26|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
27|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
