index|lemma|human_readable_pos|definition|synset_key_name|example|new_sentence|v__human
0|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The basketball team is grateful for their tall, long players who dominate on the court.|1
1|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The basketball player was always passed over by scouts due to his lanky frame, but he proved everyone wrong with his impressive skill on the court and impressive height - he was one of the league's few truly long players.|1
2|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The basketball player was strong and agile and in spite of his brown, snaggleteeth was considered handsome by basketball enthusiasts and as he seemed aloof and arrogant more youthful spectators smoked vicariously and spoke in “gonna’s” and “ain’t’s” as he lithely derived hard-fought calculus from crowded and wooziness-inspiring parabolas plus too much neck speed applied to his head movements help them blot out words they never used like scaphoid long bone excessive knee flexion Sherwood Anderson mortify demerol tartrate glucosamine cystis lectularius time outs.|0
3|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|I met a long and skinny man climbing up the mountain.|1
4|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The basketball team drafted a player who was relatively long and had an impressive wingspan.|1
5|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The basketball team had a starting lineup of long and tall players.|1
6|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|Bob was the shortest person in his family, where everyone else shared the trait of being long and tall.|1
7|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The Hall of Fame honored the long basketball player with a new statue outside the arena.|1
9|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The basketball team's center was a long and towering figure on the court.|1
10|review|verb|hold a review (of troops)|review.v.03|`` the committee continues to feel that florida has progressed in a sound and equitable program at both the state and local levels in its efforts to review and assess transition problems as they arise from time to time in the entire spectrum of civil rights''.|The general reviewed the troops at the military base.|1
11|benefit|noun|a performance to raise money for a charitable cause|benefit.n.03|The play for saturday night was to be a benefit performance of the octoroon.|She organized a benefit concert to raise funds for the children's hospital.|1
12|service|noun|a force that is a branch of the armed forces|military_service.n.01|In his report to the attorney general, the hearing officer suggested that the petitioner be exempt only from combatant training and service.|The army, navy and air forces all operate under the umbrella of the United States military service.|1
13|program|noun|a system of projects or services intended to meet a public need|program.n.02|working mothers rely on the day care program|The local government has launched a new program to provide affordable housing to low-income families.|1
14|program|noun|a system of projects or services intended to meet a public need|program.n.02|working mothers rely on the day care program|The city council implemented a new recycling program to address the growing environmental concerns of its citizens.|1
15|program|noun|a system of projects or services intended to meet a public need|program.n.02|working mothers rely on the day care program|The city council has organized a new anti-littering program to keep the streets clean.|1
16|program|noun|a system of projects or services intended to meet a public need|program.n.02|working mothers rely on the day care program|The community center provides a free after-school program for low-income families.|1
17|program|noun|a system of projects or services intended to meet a public need|program.n.02|working mothers rely on the day care program|The government's unemployment program has been supporting many individuals who have lost their jobs during the pandemic.|1
18|program|noun|a radio or television show|broadcast.n.02|did you see his program last night?|Did you catch that new program about marine habitats on National Geographic channel last night?|1
19|program|noun|a radio or television show|broadcast.n.02|did you see his program last night?|My favorite program on TV is a daily talk show discussing current events and news.|1
20|program|noun|a radio or television show|broadcast.n.02|did you see his program last night?|Her favorite TV program is a crime thriller.|1
21|program|noun|a radio or television show|broadcast.n.02|did you see his program last night?|She was a guest on a popular talk show program.|1
22|program|noun|a radio or television show|broadcast.n.02|did you see his program last night?|I enjoyed watching that cooking program on television last night.|1
23|program|noun|a document stating the aims and principles of a political party|platform.n.02|they won the election even though they offered no positive program|He spent the weekend drafting the party's program for the upcoming election.|1
24|program|noun|a document stating the aims and principles of a political party|platform.n.02|they won the election even though they offered no positive program|The new chairman vowed to release an updated program that outlines the party's vision and strategy for the upcoming elections.|1
25|program|noun|a document stating the aims and principles of a political party|platform.n.02|they won the election even though they offered no positive program|Before joining the political party, I reviewed their program to make sure I align with their aims and principles.|1
26|program|noun|a document stating the aims and principles of a political party|platform.n.02|they won the election even though they offered no positive program|The democratic program outlines their platform on health care reform and immigration policy.|1
27|program|noun|a document stating the aims and principles of a political party|platform.n.02|they won the election even though they offered no positive program|We reviewed the program put forth by the political party and found it lacking substantial change.|1
28|become|verb|come into existence|become.v.03|What becomes has duration|The rare plant species must take years to become, due to its unique process of growth.|1
29|become|verb|come into existence|become.v.03|What becomes has duration|Scientists have been working tirelessly to understand how life and complex organisms become in the extreme environments of other planets.|1
30|become|verb|come into existence|become.v.03|What becomes has duration|As soon as the first few notes are played, the familiar melody that fans wait several minutes just to hear becomes instantly recognizable.|0
32|become|verb|come into existence|become.v.03|What becomes has duration|When the company made the announcement of their new product, widespread curiosity and anticipation became obvious.|0
33|become|verb|come into existence|become.v.03|What becomes has duration|When will the new spacecraft become operational?|0
34|become|verb|come into existence|become.v.03|What becomes has duration|The art piece really attracted our attention after it began to become a reality.|0
35|become|verb|come into existence|become.v.03|What becomes has duration|At the stroke of midnight, a new day will become and the year ahead will begin.|1
37|become|verb|come into existence|become.v.03|What becomes has duration|The street corner became the meeting place for protesters and activists.|0
38|become|verb|come into existence|become.v.03|What becomes has duration|The decision on the new project funding will become clear after the meeting.|0
