index|lemma|human_readable_pos|definition|synset_key_name|example|new_sentence
0|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The basketball team is grateful for their tall, long players who dominate on the court.
1|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The basketball player was always passed over by scouts due to his lanky frame, but he proved everyone wrong with his impressive skill on the court and impressive height - he was one of the league's few truly long players.
2|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The basketball player was strong and agile and in spite of his brown, snaggleteeth was considered handsome by basketball enthusiasts and as he seemed aloof and arrogant more youthful spectators smoked vicariously and spoke in “gonna’s” and “ain’t’s” as he lithely derived hard-fought calculus from crowded and wooziness-inspiring parabolas plus too much neck speed applied to his head movements help them blot out words they never used like scaphoid long bone excessive knee flexion Sherwood Anderson mortify demerol tartrate glucosamine cystis lectularius time outs.
3|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|I met a long and skinny man climbing up the mountain.
4|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The basketball team drafted a player who was relatively long and had an impressive wingspan.
5|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The basketball team had a starting lineup of long and tall players.
6|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|Bob was the shortest person in his family, where everyone else shared the trait of being long and tall.
7|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The Hall of Fame honored the long basketball player with a new statue outside the arena.
8|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|He has long legs, towering over most people in the room.
9|long|adjective|of relatively great height; - Sherwood Anderson|long.s.03|a race of long gaunt men|The basketball team's center was a long and towering figure on the court.
10|review|verb|hold a review (of troops)|review.v.03|`` the committee continues to feel that florida has progressed in a sound and equitable program at both the state and local levels in its efforts to review and assess transition problems as they arise from time to time in the entire spectrum of civil rights''.|The general reviewed the troops at the military base.
11|benefit|noun|a performance to raise money for a charitable cause|benefit.n.03|The play for saturday night was to be a benefit performance of the octoroon.|She organized a benefit concert to raise funds for the children's hospital.
12|service|noun|a force that is a branch of the armed forces|military_service.n.01|In his report to the attorney general, the hearing officer suggested that the petitioner be exempt only from combatant training and service.|The army, navy and air forces all operate under the umbrella of the United States military service.
13|program|noun|a system of projects or services intended to meet a public need|program.n.02|working mothers rely on the day care program|The local government has launched a new program to provide affordable housing to low-income families.
14|program|noun|a system of projects or services intended to meet a public need|program.n.02|working mothers rely on the day care program|The city council implemented a new recycling program to address the growing environmental concerns of its citizens.
15|program|noun|a system of projects or services intended to meet a public need|program.n.02|working mothers rely on the day care program|The city council has organized a new anti-littering program to keep the streets clean.
16|program|noun|a system of projects or services intended to meet a public need|program.n.02|working mothers rely on the day care program|The community center provides a free after-school program for low-income families.
17|program|noun|a system of projects or services intended to meet a public need|program.n.02|working mothers rely on the day care program|The government's unemployment program has been supporting many individuals who have lost their jobs during the pandemic.
18|program|noun|a radio or television show|broadcast.n.02|did you see his program last night?|Did you catch that new program about marine habitats on National Geographic channel last night?
19|program|noun|a radio or television show|broadcast.n.02|did you see his program last night?|My favorite program on TV is a daily talk show discussing current events and news.
20|program|noun|a radio or television show|broadcast.n.02|did you see his program last night?|Her favorite TV program is a crime thriller.
21|program|noun|a radio or television show|broadcast.n.02|did you see his program last night?|She was a guest on a popular talk show program.
22|program|noun|a radio or television show|broadcast.n.02|did you see his program last night?|I enjoyed watching that cooking program on television last night.
